Hour_sin,Hour_cos,Soil_Temp,Rainfall,Soil_Moisture
0.2588,0.9659,15.3,0.0,0.424
0.5,0.866,14.0,0.0,0.424
0.7071,0.7071,13.1,0.0,0.424
0.866,0.5,12.6,0.0,0.423
0.9659,0.2588,12.6,0.0,0.423
1.0,0.0,12.4,0.0,0.424
0.9659,-0.2588,12.2,0.0,0.423
0.866,-0.5,11.6,0.0,0.424
0.7071,-0.7071,11.5,0.0,0.424
0.5,-0.866,11.0,0.0,0.424
0.2588,-0.9659,11.0,0.0,0.424
0.0,-1.0,10.8,0.0,0.425
-0.2588,-0.9659,10.7,0.0,0.425
-0.5,-0.866,10.4,0.0,0.425
-0.7071,-0.7071,10.2,0.0,0.425
-0.866,-0.5,10.4,0.0,0.425
-0.9659,-0.2588,11.8,0.0,0.425
-1.0,-0.0,13.0,0.0,0.425
-0.9659,0.2588,14.0,0.0,0.424
-0.866,0.5,15.4,0.0,0.424
-0.7071,0.7071,16.3,0.0,0.423
-0.5,0.866,16.5,0.0,0.421
-0.2588,0.9659,15.9,0.0,0.421
0.0,1.0,15.1,0.0,0.421
0.2588,0.9659,14.3,0.0,0.421
0.5,0.866,13.2,0.0,0.421
0.7071,0.7071,12.6,0.0,0.422
0.866,0.5,12.0,0.0,0.421
0.9659,0.2588,11.3,0.0,0.422
1.0,0.0,10.7,0.0,0.422
0.9659,-0.2588,11.4,0.0,0.422
0.866,-0.5,11.1,0.0,0.423
0.7071,-0.7071,10.5,0.0,0.423
0.5,-0.866,10.8,0.0,0.423
0.2588,-0.9659,10.6,0.0,0.423
0.0,-1.0,10.6,0.0,0.422
-0.2588,-0.9659,10.8,0.0,0.422
-0.5,-0.866,10.9,0.0,0.422
-0.7071,-0.7071,11.0,0.0,0.422
-0.866,-0.5,11.2,0.0,0.422
-0.9659,-0.2588,11.5,0.0,0.422
-1.0,-0.0,11.6,0.0,0.422
-0.9659,0.2588,12.3,0.0,0.421
-0.866,0.5,13.2,0.0,0.419
-0.7071,0.7071,14.0,0.0,0.417
-0.5,0.866,14.8,0.0,0.415
-0.2588,0.9659,14.4,0.0,0.414
0.0,1.0,13.1,0.0,0.414
0.2588,0.9659,12.1,0.0,0.414
0.5,0.866,11.3,0.0,0.413
0.7071,0.7071,9.9,0.0,0.413
0.866,0.5,9.1,0.0,0.414
0.9659,0.2588,8.6,0.0,0.415
1.0,0.0,8.4,0.0,0.415
0.9659,-0.2588,7.9,0.0,0.415
0.866,-0.5,7.6,0.0,0.415
0.7071,-0.7071,7.5,0.0,0.415
0.5,-0.866,7.4,0.0,0.415
0.2588,-0.9659,7.4,0.0,0.416
0.0,-1.0,7.2,0.0,0.415
-0.2588,-0.9659,7.1,0.0,0.415
-0.5,-0.866,6.8,0.0,0.415
-0.7071,-0.7071,6.8,0.0,0.412
-0.866,-0.5,7.4,0.0,0.411
-0.9659,-0.2588,8.8,0.0,0.411
-1.0,-0.0,10.5,0.0,0.411
-0.9659,0.2588,12.1,0.0,0.41
-0.866,0.5,13.3,0.0,0.409
-0.7071,0.7071,14.5,0.0,0.408
-0.5,0.866,15.0,0.0,0.408
-0.2588,0.9659,14.7,0.0,0.407
0.0,1.0,13.7,0.0,0.406
0.2588,0.9659,11.9,0.0,0.406
0.5,0.866,10.0,0.0,0.406
0.7071,0.7071,9.3,0.0,0.407
0.866,0.5,8.7,0.0,0.407
0.9659,0.2588,8.3,0.0,0.407
1.0,0.0,8.2,0.0,0.407
0.9659,-0.2588,7.8,0.0,0.407
0.866,-0.5,7.5,0.0,0.407
0.7071,-0.7071,7.2,0.0,0.407
0.5,-0.866,7.0,0.0,0.406
0.2588,-0.9659,6.7,0.0,0.406
0.0,-1.0,6.5,0.0,0.406
-0.2588,-0.9659,6.3,0.0,0.406
-0.5,-0.866,6.1,0.0,0.406
-0.7071,-0.7071,6.1,0.0,0.406
-0.866,-0.5,6.3,0.0,0.406
-0.9659,-0.2588,8.0,0.0,0.406
-1.0,-0.0,9.7,0.0,0.405
-0.9659,0.2588,11.3,0.0,0.405
-0.866,0.5,12.9,0.0,0.404
-0.7071,0.7071,14.0,0.0,0.403
-0.5,0.866,14.8,0.0,0.397
-0.2588,0.9659,14.5,0.0,0.397
0.0,1.0,13.6,0.0,0.395
0.2588,0.9659,12.5,0.0,0.395
0.5,0.866,11.3,0.0,0.395
0.7071,0.7071,9.8,0.0,0.395
0.866,0.5,9.0,0.0,0.396
0.9659,0.2588,8.6,0.0,0.396
1.0,0.0,8.0,0.0,0.396
0.9659,-0.2588,7.7,0.0,0.395
0.866,-0.5,7.5,0.0,0.395
0.7071,-0.7071,7.4,0.0,0.395
0.5,-0.866,7.2,0.0,0.395
0.2588,-0.9659,7.0,0.0,0.395
0.0,-1.0,7.0,0.0,0.395
-0.2588,-0.9659,6.8,0.0,0.395
-0.5,-0.866,6.6,0.0,0.395
-0.7071,-0.7071,6.5,0.0,0.395
-0.866,-0.5,7.1,0.0,0.395
-0.9659,-0.2588,8.6,0.0,0.392
-1.0,-0.0,10.3,0.0,0.392
-0.9659,0.2588,11.9,0.0,0.391
-0.866,0.5,13.4,0.0,0.39
-0.7071,0.7071,14.8,0.0,0.389
-0.5,0.866,15.4,0.0,0.388
-0.2588,0.9659,15.0,0.0,0.387
0.0,1.0,14.1,0.0,0.387
0.2588,0.9659,12.7,0.0,0.386
0.5,0.866,11.0,0.0,0.386
0.7071,0.7071,9.8,0.0,0.387
0.866,0.5,9.2,0.0,0.387
0.9659,0.2588,8.5,0.0,0.387
1.0,0.0,8.2,0.0,0.387
0.9659,-0.2588,7.9,0.0,0.387
0.866,-0.5,7.7,0.0,0.387
0.7071,-0.7071,7.6,0.0,0.387
0.5,-0.866,7.4,0.0,0.387
0.2588,-0.9659,7.3,0.0,0.386
0.0,-1.0,7.2,0.0,0.386
-0.2588,-0.9659,6.9,0.0,0.386
-0.5,-0.866,6.9,0.0,0.386
-0.7071,-0.7071,6.7,0.0,0.386
-0.866,-0.5,7.1,0.0,0.386
-0.9659,-0.2588,8.6,0.0,0.386
-1.0,-0.0,10.4,0.0,0.385
-0.9659,0.2588,12.1,0.0,0.385
-0.866,0.5,13.4,0.0,0.384
-0.7071,0.7071,15.0,0.0,0.383
-0.5,0.866,15.5,0.0,0.382
-0.2588,0.9659,15.0,0.0,0.381
0.0,1.0,14.2,0.0,0.378
0.2588,0.9659,12.9,0.0,0.378
0.5,0.866,10.6,0.0,0.379
0.7071,0.7071,9.5,0.0,0.379
0.866,0.5,9.0,0.0,0.379
0.9659,0.2588,8.6,0.0,0.379
1.0,0.0,8.2,0.0,0.379
0.9659,-0.2588,8.2,0.0,0.379
0.866,-0.5,7.9,0.0,0.379
0.7071,-0.7071,7.5,0.0,0.379
0.5,-0.866,7.4,0.0,0.378
0.2588,-0.9659,7.3,0.0,0.378
